"Nabijheid voorzieningen; afstand locatie, wijk- en buurtcijfers 2021"
""
"";"";"Wijken en buurten"
"Onderwerp";"";"Nederland";"Aa en Hunze";"Wijk 00 Annen";"Annen";"Verspreide huizen Annen";"Wijk 01 Eext";"Eext";"Verspreide huizen Eext"
"Regioaanduiding|Gemeentenaam";"naam";"Nederland";"AaenHunze";"AaenHunze";"AaenHunze";"AaenHunze";"AaenHunze";"AaenHunze";"AaenHunze"
"Regioaanduiding|Soort regio";"omschrijving";"Land";"Gemeente";"Wijk";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt"
"Regioaanduiding|Codering";"code";"NL00";"GM1680";"WK168000";"BU16800000";"BU16800009";"WK168001";"BU16800100";"BU16800109"
"Vrije tijd en cultuur|Bioscoop|Aantal bioscopen|Binnen 10 km";"aantal";"2,9";"0,4";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Vrije tijd en cultuur|Bioscoop|Aantal bioscopen|Binnen 20 km";"aantal";"7,2";"1,8";"2,1";"2,1";"2,4";"2,9";"3,0";"2,9"
"Vrije tijd en cultuur|Recreatie|Afstand tot sauna";"km";"7,6";"9,4";"13,9";"13,9";"13,4";"10,6";"10,4";"12,1"
"Vrije tijd en cultuur|Recreatie|Afstand tot zonnebank";"km";"4,0";"10,8";"13,6";"13,6";"12,7";"14,0";"14,0";"14,3"
"Vrije tijd en cultuur|Recreatie|Afstand tot attractie";"km";"5,2";"5,9";"5,5";"5,5";"7,0";"9,7";"9,8";"8,8"
"Vrije tijd en cultuur|Recreatie|Aantal attracties|Binnen 10 km";"aantal";"3,4";"1,5";"1,0";"1,0";"1,0";"0,9";"0,8";"1,0"
"Vrije tijd en cultuur|Recreatie|Aantal attracties|Binnen 20 km";"aantal";"9,9";"6,8";"7,0";"7,0";"7,0";"6,2";"6,1";"7,1"
"Vrije tijd en cultuur|Recreatie|Aantal attracties|Binnen 50 km";"aantal";"44,7";"26,9";"25,9";"26,0";"25,7";"26,5";"26,6";"26,2"
"Afstand tot brandweerkazerne";"km";"2,1";"2,7";"1,3";"1,3";"1,7";"4,2";"4,3";"3,1"
"Bron: CBS"
